ISO8601,asleep,asleepAvg7,hrv,hrvAvg7
2021-05-02T20:59:59+02:00,10:05:00,05:07:30,16.0,19.0
2021-05-03T20:59:59+02:00,08:41:00,05:50:12,22.0,20.0
2021-05-04T20:59:59+02:00,05:30:00,05:46:50,18.0,20.0
2021-05-05T20:59:59+02:00,06:15:00,05:50:51,10.0,18.0
2021-05-06T20:59:59+02:00,04:15:00,05:48:17,15.0,18.0
2021-05-07T20:59:59+02:00,06:41:00,06:15:51,14.0,18.0
2021-05-08T20:59:59+02:00,05:15:00,06:40:17,13.0,15.0
2021-05-09T20:59:59+02:00,07:13:00,06:15:42,13.0,15.0
2021-05-10T20:59:59+02:00,08:43:00,06:16:00,16.0,14.0
2021-05-11T20:59:59+02:00,05:30:00,06:16:00,17.0,14.0
2021-05-12T20:59:59+02:00,05:44:00,06:11:34,11.0,14.0
2021-05-13T20:59:59+02:00,05:45:00,06:24:25,21.0,15.0
2021-05-14T20:59:59+02:00,04:14:00,06:03:25,10.0,15.0
2021-05-15T20:59:59+02:00,05:30:00,06:05:34,35.0,18.0
2021-05-16T20:59:59+02:00,09:23:00,06:24:08,29.0,20.0
2021-05-17T20:59:59+02:00,07:00:00,06:09:25,17.0,20.0
2021-05-18T20:59:59+02:00,04:30:00,06:00:51,29.0,22.0
2021-05-19T20:59:59+02:00,05:30:00,05:58:51,14.0,22.0
2021-05-20T20:59:59+02:00,05:12:00,05:54:08,24.0,22.0
2021-05-21T20:59:59+02:00,04:00:00,05:52:08,11.0,23.0
2021-05-22T20:59:59+02:00,05:23:00,05:51:08,14.0,20.0
2021-05-23T20:59:59+02:00,07:42:00,05:36:42,12.0,17.0
2021-05-24T20:59:59+02:00,06:42:00,05:34:08,23.0,18.0
2021-05-25T20:59:59+02:00,03:29:00,05:25:25,43.0,20.0
2021-05-26T20:59:59+02:00,05:30:00,05:25:25,26.0,22.0
2021-05-27T20:59:59+02:00,04:00:00,05:15:08,,
2021-05-28T20:59:59+02:00,05:49:00,05:30:42,8.0,20.0
